"name","unique_skills_required","highest_avg_salary"
"Air Force Materiel Command","1","46696"
"Air Force Personnel Center","7","99764"
"Air Liquide","48","90000"
"Airbnb","48","350000"
"Airbus","85","89204"
"Aircall","26","111175"
"AirDNA","26","170000"
"Airlines Reporting Corporation","25","90000"
"Airswift North America","12","104000"
"Airtable","5","233500"
"Airwallex","42","183320"
"Airwallex Limited","3","175000"
"Aisera","14","89100"
"AIVantage INC","11","125000"
"Aize AS","27","132500"
"AJ Bell","7","132500"
"Ajulia Executive Search","6","67500"
"Akamai Technologies","43","90000"
"Akkodis","127","130000"
"Akoya Biosciences","4","165000"
"Akytech Consulting LLC","4","85000"
"AkzoNobel","22","47370"
"Alameda Corridor Transportation Authority","7","102500"
"Alameda County Community Food Bank","3","83909"
"Alameda Health Consortium/Community Health Center Network","5","83000"
"Alarm.com","14","89100"
"Alation, Inc.","18","147500"
"AlayaCare","19","99150"
"albelli-Photobox Group","13","116417"
"Albemarle","18","90000"
"Albert Einstein College of Medicine","21","63000"
"Albertsons","11","136500"
"Albertsons Companies, Inc.","12","125000"
"Albuquerque Public Schools","2","78583"
"Alchemy Worx","7","98500"
"Alcon","60","191900"
"Alcor","21","55000"
"Alef Invest","4","54000"
"Alert Innovation","14","171000"
"Alethia Software","5","115267"
"Aleto, Inc.","3","115000"
"Alevio Consulting","9","96773"
"Algo Capital Group","27","375000"
"AlGooru","5","96773"
"Ali Awad Law, P.C.","2","47500"
"Aliados Health","5","72500"
"Align Technology, Inc","10","125000"
"Alignment Healthcare","8","115000"
"ALINED Consulting Group, LLC","5","160000"
"Alipro","17","92850"
"Alium","39","185000"
"Alivia Health","4","42700"
"AlixPartners","27","160000"
"Alkami","5","133900"
"Alkami Technology","5","150000"
"All Chicago Making Homelessness History","7","65085"
"All In Solutions","3","102500"
"All Native Group","20","75000"
"All Roads","3","97500"
"Allakos","7","96000"
"Alldus","53","205000"
"Allegiance Technology","7","90000"
"Allegis Global Solutions","36","56700"
"Allegro","62","157500"
"Allen Integrated Solutions","32","157500"
"AlleraIT Solutions LLC","6","99163"
"Alleviate Tax","3","77500"
"AllHealth Network","2","93000"
"Alliance for Better Health, LLC","12","95000"
"Alliance of Professionals & Consultants, Inc.","1","101421"
"AllianceBernstein Holding LP","2","125000"
"AllianceChicago","11","67500"
"Alliant Credit Union","9","102500"
"Alliant Insurance Services","11","65000"
"Allianz","80","154000"
"Allied Aviation Services, Inc.","2","62500"
"Allied Technologies & Consulting","1","48500"
"AllocateRite","4","150000"
"Alloy","10","165000"
"Allscripts","6","114184"
"Allstate","33","182375"
"Allstate Insurance Company","44","200000"
"AllSTEM Connections","56","180000"
"Alltech International","4","112601"
"AllTrails","12","111175"
"Allucent","11","80850"
"Alludo","13","115495"
"Allworth Financial","7","92500"
"Ally Financial","37","150000"
"Allyn International","7","55000"
"ALM","7","110000"
"Almirall","17","57600"
"ALMPG Staffing & Technologies","2","137500"
"Alo Yoga","11","180000"
"Aloware","10","80000"
"Alpha AI","1","140000"
"Alpha Silicon","45","130000"
"AlphaSense","29","79200"
"Alphatec Spine","8","95000"
"Alphident Technologies Inc","9","115000"
"ALTA IT Services","56","152500"
"Alta Planning Design","12","88750"
"Altais","10","132500"
"Altana AI","18","132500"
"Alteas Health","2","60000"
"ALTEN","77","164000"
"Alter Health Group","7","80000"
"Alter Solutions","54","156500"
"Altera Digital Health","9","79200"
"Alteryx, Inc","13","125000"
"Altice USA","28","118169"
"Altimate AI","13","75000"
"Altimetrik","34","87250"
"Altinity","21","85000"
"Alto","7","125000"
"Altos Labs","15","269500"
"Altruist","16","130000"
"Altus Group","34","90000"
"Amadeus","83","165000"
"Amartha","20","64800"
"Amazee Global Ventures Inc","20","75000"
"Amazon","108","187500"
"Amazon, Inc.","13","60000"
"Amazon.com","48","198000"
"Ambassador Theatre Group","6","75000"
"Ambry Genetics Corporation","4","69000"
"AMD","62","131300"
"Amentum","44","125000"
"Ameren Corporation","7","90000"
"American Airlines","39","90000"
"American Broadband","4","75000"
"American Century Companies, Inc.","8","150000"
"American Century Investments","18","119475"
"American Council of Academic Physical Therapy","8","35000"
"American Electric Power","11","69570"
"American Express","90","150000"
"American Express Ventures","4","115000"
"American Family Insurance","36","117100"
"American Family Insurance Group","13","115000"
"American Family Mutual Insurance","7","90200"
"American Family Mutual Insurance Company","29","90200"
"American Fine Food","4","50325"
"American Homes 4 Rent","11","76833"
"American Honda Motor Co","6","118350"
"American Honda Motor Co Inc","11","75000"
"American Institutes for Research","18","76500"
"American International Group","8","90000"
"American International Group, Inc.","5","142500"
"American Medical Association","27","90000"
"American Museum of Natural History","1","77000"
"American National","12","59500"
"American National Insurance Co","5","115000"
"American Nurses Association","1","105000"
"American Red Cross","23","132500"
"AMERICAN SYSTEMS","43","225000"
"American Tax Service","2","87500"
"American Technion Society","4","80000"
"Americas Region","9","87400"
"Americor","4","125000"
"Amerihealth","7","125000"
"AmerisourceBergen","22","100110"
"AmerisourceBergen Corporation","21","100110"
"Amerit Fleet Solutions","2","85000"
"Amex","57","127500"
"Amgen","62","190877"
"Amgen Inc","19","167187"
"Amica Mutual Insurance","15","106380"
"Amica Mutual Insurance Company","14","107341"
"Amiga Informatics Pvt. Ltd","8","145513"
"Amino","12","165000"
"Amira Learning","5","151522"
"AMIRI","18","150000"
"Amity Foundation","8","78500"
"AML JV LLC","7","155000"
"AMN HEALTHCARE","17","146000"
"Ampcus Inc","52","110000"
"Amperity","10","205000"
"Ampla","8","127500"
"Ample Insight Inc.","12","157500"
"Amplifi Capital","20","96773"
"Amplified Sourcing","8","70000"
"Amplify","21","150000"
"Amplify Consulting Partners","26","142501"
"Amplify Federal","11","137500"
"Amplitude","25","206500"
"Amtec Human Capital","16","110000"
"Amtrak","21","124000"
"AmTrust Financial Services","4","90000"
"Amwell","18","125000"
"Analog Devices","51","120000"
"Analog Devices, Inc","13","375000"
"Analysis Studio","10","110000"
"Analytic Recruiting Inc.","29","220000"
"Analytic Solutions Group","19","142500"
"AnaVation","22","99150"
"Anblicks","68","135000"
"Ancestry","25","152500"
"Anchor Point Technology Resources","10","125000"
"Ancor Capital Partners","3","72500"
"Ancora Education","5","92500"
"AND Digital","29","165000"
"Anduril Industries","30","166000"
"Aneon Federal Solutions","3","92500"
"Angi","29","145000"
"ANGI Homeservices Inc.","3","175000"
"Angie's List","3","165000"
"Angkas","15","131580"
"Angle Health","3","90000"
"AngloGold Ashanti","1","105209"
"Anheuser-Busch","36","103200"
"Animal and Plant Health Inspection Service","4","128464"
"Ankura","24","175000"
"Annalect","25","37500"
"Ansa Biotechnologies, Inc.","4","168000"
"Anser Advisory","13","97500"
"ANSER Corporation","8","225000"
"Anthropic","2","350000"
"Antra, Inc","16","72500"
"Anyar, Inc.","5","67500"
"AOI Today","7","113000"
"Aon","67","65000"
"Aon Corporation","42","135000"
"Apeel Sciences","9","165000"
"Aperio Global, LLC","28","99150"
"Apex","6","90000"
"Apex Systems","116","162500"
"Apexon","62","110000"
"AphroSoft TechnoLogies","3","95000"
"Apidel Technologies","46","70000"
"APIXA","7","89100"
"Apixio","26","160000"
"Apolis","63","155000"
"Apollo","11","104750"
"Apollo League","5","112500"
"Apollo Medical Holdings","10","105000"
"Appen","60","157500"
"Appen Limited","1","117500"
"AppFolio","16","150000"
"Appian","20","79200"
"Appic Solutions","27","145000"
"APPIC Solutions","27","145000"
"APPIC Solutions LLC","13","92500"
"Appier","20","147500"
"Applanix","8","124179"
"Applaudo Studios","35","166000"
"Apple","101","219500"
"Apple Bank for Savings","8","152500"
"Apple Valley","4","120531"
"AppleOne","29","85000"
"AppleOne Employment Services","37","120000"
"AppleOne Technical Staffing","2","120000"
"Applied Engineering Management Corporation","5","74000"
"Applied Materials","52","190000"
"Applied Network Solutions","15","100000"
"Applied Network Solutions Inc","5","175000"
"Applied Physics","13","80850"
"Applied Research Associates Inc","8","175000"
"Applied Research Laboratories","4","134000"
"Applied Resource Group","18","145000"
"Applied Systems","29","90000"
"Applihub","13","114904"
"AppsFlyer","48","157500"
"Apptad Inc","63","155000"
"AppTad Technologies Pvt Ltd","9","135359"
"Apptegy","14","125000"
"AppZen","9","180000"
"AppZen, Inc.","9","165000"
"Apt","15","122500"
"ApTask","75","145000"
"APTIM Corp.","11","81312"
"Aptos","28","210000"
"Aptude, Inc","15","142500"
"Aqemia","13","134241"
"Aquent","40","85000"
"Aquent Studios","8","65000"
"Aquent Talent","45","75000"
"aquesst","15","70000"
"Aramark","26","54000"
"ArbiLex","6","107500"
"Arbit","11","70000"
"ARC IT Recruitment","22","151500"
"Arcadia","22","147500"
"Arcadis","47","81000"
"Arccos Golf","5","190000"
"Arch Capital Group","8","236040"
"Archdiocese of Chicago","2","86000"
"Archer","26","156853"
"Archer - The IT Recruitment Consultancy","35","155000"
"Archer IT","7","265000"
"ARCHIMED","25","163782"
"Archimedes Global","7","100500"
"ArchiPro","11","98500"
"Arconic","12","80000"
"Arcules, Inc.","7","150000"
"Ardagh Group","7","57600"
"Ardent Health Services","10","100000"
"Ardent MC","7","131867"
"Ardmore Home Design","9","85000"
"Ardmore Home Design, Inc.","9","85000"
"Arena Online Ltd","6","69963"
"ArenaNet","9","150000"
"ARES Corporation","8","67500"
"Arete","24","100000"
"Argo Data","4","132122"
"Argonne National Laboratory","21","90000"
"ARHS","39","157500"
"Ariel Partners","10","175000"
"Arine","3","150000"
"Aristocrat","50","101002"
"Aristocrat Leisure Limited","11","150000"
"Arity","5","182375"
"Aritzia","15","120000"
"Arivo Acceptance LLC","4","135000"
"Arizona State University","22","138500"
"Arjo Inc.","2","72500"
"Ark Technology Consultants","1","60000"
"Arkane Studios","10","80000"
"Arkansas Center for Data Sciences","8","42500"
"Arkatiss LLP","6","100000"
"Arkestro","6","175000"
"Arlington County, VA","2","67194"
"Armas Pharmaceuticals","3","57500"
"Armavel, LLC","12","100000"
"Armis Security","7","147500"
"Arocam Sports Inc.","1","55000"
"ARPAN INFRASOLUTION PRIVATE LIMITED","3","97500"
"Array","4","64800"
"Array Health Solutions","8","115000"
"Arrive Logistics","19","157500"
"Arrow Electronics","37","115000"
"Arsenault","49","170000"
"Arsenault Inc","6","48000"
"Artemis Health","7","90000"
"ARTEMIS Partners of Houston","6","120000"
"Arthrex","24","115000"
"Arthrex, Inc.","11","60000"
"Arthur Grand Technologies Inc","30","132799"
"ARTIDIS","11","121064"
"Aryng","12","88128"
"Asana","11","375000"
"ASAPP","36","149653"
"ASCAP","3","100000"
"AscellaHealth","5","100000"
"Ascendion","78","180000"
"Ascendo Resources","44","140000"
"Ascension","44","96928"
"ASCII Group LLC","23","140000"
"ASGN Incorporated","54","175500"
"ASI","37","147500"
"Asian Americans Advancing Ju","2","62000"
"ASICS Digital","7","147500"
"ASK Consulting","62","75000"
"Askria","1","35000"
"ASML","68","70000"
"ASOS","19","157000"
"Aspen Dental","28","171000"
"Aspen Dental Management Inc","11","90000"
"Aspen Insurance Group","12","96300"
"Aspetto, Inc.","4","120000"
"Aspire","59","72000"
"Assembly","14","102500"
"Assent","11","44100"
"AssistRx","4","100000"
"Associated Bank","20","90000"
"Associates Systems LLC","10","137500"
"Assurance IQ","15","150000"
"Assurant","30","82500"
"ASSYSTEM","11","147500"
"Astek Canada","36","107500"
"Aston Carter","54","117500"
"AstraZeneca","111","175000"
"Astreya","38","123450"
"Astreya Partners","30","76513"
"Asurion Corporation","16","175000"
"At-Bay","19","115000"
"AT&T","90","255830"
"Ataccama","45","147500"
"ATB Financial","26","105000"
"ATech Placement","32","135000"
"Atheneum","6","50400"
"Athenix Solutions Group","10","88128"
"Athletic Greens","17","200000"
"Athora","7","89100"
"Atlanta Public Schools","3","87526"
"Atlanta Regional Commission","13","83863"
