"name","unique_skills_required","highest_avg_salary"
"Dimensional Thinking","11","131500"
"Dimensional Thinking LLC","1","135000"
"Direct Interactions, Inc.","6","60000"
"Direct Relief","9","107500"
"DIRECTV","32","160515"
"Disabled","9","110000"
"Discord","22","225000"
"Discover","48","137000"
"Discover Financial Services","44","150000"
"Discovered MENA","23","120000"
"Discovery, Inc.","17","115000"
"Discz","3","125000"
"DISH","66","146000"
"DISH Network","54","150000"
"Disney","68","163500"
"Disney Direct to Consumer","19","166848"
"Disney Entertainment & ESPN Technology","14","191180"
"Disney Media & Entertainment Distribution","31","209000"
"Disney Parks, Experiences and Products","27","98880"
"Dispatch, LLC","6","127500"
"DISQO","20","147500"
"Distinct North America","9","90000"
"DISYS","68","59000"
"Disys India Private Limited","8","100000"
"Divelement","15","101029"
"DIVERSANT, LLC","7","140000"
"Diverse Lynx","134","125000"
"Diverse team","6","125000"
"Diversey, Inc.","8","71000"
"Diversified","3","69500"
"Diversified Services Network","18","33500"
"Divvy","6","175000"
"Dixie Technical College","4","68500"
"DLA Piper","30","140000"
"DLZP Group LLC","12","75000"
"DMGgo","1","38750"
"DMI","28","90000"
"dnata","17","72000"
"DNI","14","95000"
"DNSFilter","3","197500"
"DNV","40","110000"
"DNV GL","28","125000"
"Docebo","23","89100"
"Docler Holding","21","105300"
"Docplanner","24","57500"
"DOCS Management Services","10","86500"
"Doctors Without Borders/Médecins Sans Frontières - USA","17","110930"
"DocuSign","48","150000"
"Dolby Laboratories","32","125000"
"Dollar General","25","145000"
"Dollar Shave Club","4","140000"
"Domino Technologies","7","122500"
"Domino Technologies, Inc.","7","122500"
"Donald Danforth Plant Science Center","16","55806"
"DonorSearch","2","62500"
"DoorDash","35","245000"
"Doran Jones Inc.","16","147500"
"Dormakaba Group","3","90000"
"DoubleVerify","45","185500"
"Dow Jones","49","115000"
"DOWN Dating & Hookups","6","66000"
"Doxee","12","97444"
"Doximity","9","175000"
"DPH-Shattuck Hospital","5","72550"
"DraftKings","25","146000"
"Drata","5","181000"
"Dream Sports","7","93600"
"DreamBox Learning","5","115000"
"Driscoll's","16","97000"
"Driscoll’s","10","115000"
"DrivenIQ","11","25000"
"Dropbox","31","258000"
"DropBox","3","206500"
"DRW","17","166000"
"DS Smith","10","75068"
"DSH","4","117824"
"DSI Systems","9","100500"
"DSJ Global","10","95000"
"DSM Infocom","12","125000"
"dsvas","6","155000"
"DuckDuckGo","7","170000"
"Dumpa Consulting","6","115000"
"Dun & Bradstreet","73","203000"
"Duo Security","11","140500"
"Durlston Partners","21","525000"
"Dutch","4","165000"
"dv01","9","132500"
"DVG Tech Solutions LLC","16","70000"
"DW Simpson","10","135000"
"DYNAMIC MANUFACTURING INC","4","65000"
"Dynatrace","49","147500"
"Dynatron Software","12","60000"
"e-Bit Consulting","8","115000"
"e-business International Inc","10","97538"
"e-Business International Inc","48","137500"
"E-business International Inc","13","130000"
"E-Logic, Inc.","6","80500"
"E-Solutions","60","160000"
"E-Solutions IT Service PVT LTD","20","115000"
"E business international","3","87810"
"E Source","14","98500"
"E&J Gallo","12","60000"
"E. Breuninger GmbH & Co.","17","105650"
"e.biT Consulting","11","120000"
"E.L. Haynes Public Charter School","4","66662"
"E2 Consulting Engineers, Inc","5","100000"
"EA-Energy Analysis Env Impacts","1","148464"
"Eagle Genomics Ltd","16","163782"
"Eames Consulting","49","110000"
"EARLY LEARNING COALITION OF HILLSBOROUGH COUNTY","1","50388"
"Early Warning","13","137500"
"Early Warning Services","8","125000"
"Earnest","13","150000"
"Earnest Analytics","15","135000"
"EarnestResearch","13","146361"
"EarnIn","6","79200"
"Earthscope Consortium, Inc.","8","73750"
"East Daley Analytics","6","100000"
"East River Electric Power Cooperative, Inc.","4","960000"
"East West Bank","14","102500"
"Eastdil Secured","2","80000"
"Easton Consulting Technologies","8","112500"
"Eastridge","10","115000"
"Eaton","82","124875"
"EATON","19","95274"
"Eaton Corporation","64","95275"
"EBANX","14","155500"
"eBay","44","175000"
"ECG Management Consultants","17","90000"
"Echelon Services, LLC","2","113500"
"Eclaro","47","117500"
"eClinical Solutions","26","90000"
"EcoCart","11","90000"
"Ecolab","42","161000"
"ECOM","15","122500"
"ECS","84","175000"
"ECS Federal","42","150000"
"ECS Federal, Inc","8","140000"
"Eden Smith Group","36","340000"
"EDGE","12","100000"
"EdgeLink","13","130000"
"Edgenuity","12","100000"
"Edgetensor Technologies","7","105000"
"Edgewater Federal Solutions, Inc.","17","157500"
"Edison International","22","150000"
"Edison Smart","17","115000"
"EDITED","13","85205"
"EDP","35","86400"
"Edprotech","5","125000"
"EDR Technology","12","165000"
"Eduauraa Technologies Pvt. Ltd","11","101029"
"Education Analytics","10","105000"
"Education Pioneers","4","58001"
"Edutek, Ltd.","2","50000"
"Edward Jones","33","177886"
"EDWARD JONES","37","177886"
"Edwards Lifesciences","39","121500"
"Effectual Inc.","12","135000"
"Effectv","36","109875"
"Egen","40","147500"
"Egen Solutions Inc","30","129589"
"EHOB, Inc","3","54500"
"ehub global","2","62500"
"Eighty20 Collective","4","131600"
"Eisenhower Medical Center","1","115000"
"El Buen Samaritano","7","60000"
"EL Education (Formerly Expeditionary Learning)","3","105000"
"Elastic","52","136735"
"Elasticsearch","8","100000"
"Electronic Arts","84","212625"
"Electronic Arts Inc","26","150000"
"Elementus","19","200000"
"Elentic Technology Solutions","6","110000"
"Eleos Health","16","147500"
"Elev8 Hire Solutions","18","110000"
"Elevance Health","70","175000"
"Elevate Digital","13","130000"
"Eleven Recruiting","12","105000"
"Eli Lilly","12","90000"
"Eliassen Group","100","160000"
"Eliiza","18","249000"
"Elion Scientific","4","125000"
"Elite","1","95000"
"Elite Hedge Fund","10","300000"
"Elite Insurance Partners","7","65000"
"Elite IT Recruitment LTD","18","90000"
"Elite ProTek","5","100000"
"Ellianse LLC","1","62500"
"Elliott Moss Consulting","22","120000"
"Ellipse Analytics","4","140000"
"Ellucian","33","90000"
"Ellumen","1","90000"
"Elsdon Consulting ltd","21","155000"
"Elsevier","50","170500"
"EmblemHealth","12","115000"
"EmbryRiddle Aeronautical University","5","90000"
"Emburse","22","116950"
"Emerald Resource Group","13","122500"
"Emerest Connect","9","100000"
"Emergent Software","14","132500"
"Emerson College","12","95848"
"Emerson United Inc","6","155000"
"EMFOI","13","137532"
"EMG Acquisitions","2","65000"
"emids","14","110000"
"Emids","35","105000"
"Emonics","21","83321"
"Emonics LLC","79","125000"
"Emotive","7","82500"
"Empassion","5","171000"
"Emphasoft","33","45000"
"EmpiRx Health","12","130000"
"EmployBridge","16","80000"
"Employers","12","180000"
"EMPLOYERS","20","180000"
"Employers Holdings, Inc.","1","83500"
"Employment and Training Administration","4","53105"
"Emprise Concepts","2","100000"
"Emtek Products","8","87500"
"EMW Staffing Solutions LLC","18","147500"
"EMW, Inc.","39","157500"
"Enable Medicine","3","172500"
"EnChannel Medical Inc.","10","175000"
"Encipher Technology","8","135000"
"Encore Technologies","32","117500"
"End Point","3","145000"
"Endeavor","51","165000"
"Endeavor Consulting Group","2","96773"
"Endeavor Operating Company, LLC","14","58500"
"Endeavor Streaming","3","62500"
"Endress+Hauser Gruppe","10","65415"
"Energie Steiermark","5","92500"
"Energize Group","28","125000"
"Energy Aspects Ltd","24","100500"
"Energy Solutions","6","105000"
"EnergyHub","17","170000"
"Enertek Group","9","195000"
"Enertiv","6","120000"
"Engage Partners Inc.","26","90000"
"Engage Partners, Inc.","18","162500"
"Engie","35","174668"
"ENGIE North America Inc.","27","164498"
"eNGINE","13","145000"
"ENGINEERING SERVICES NETWORK, Inc.","1","70250"
"Engtal","47","350000"
"Enhance IT","21","150000"
"Enova","18","157500"
"ENS Solutions","15","69963"
"ENSCO","12","125000"
"Ensurem LLC","1","57550"
"ENT And Allergy Associates","2","65000"
"Ent Credit Union","1","120367"
"Entain","60","157500"
"Entech Network Solutions, LLC.","6","130000"
"Entera","15","217500"
"Enterprise Analytic","15","127795"
"Enterprise Holdings","15","125000"
"Enterprise Solutions Inc","21","90000"
"Entertainment Benefits Group","6","147500"
"Entropik Technologies","10","128682"
"Entrupy","4","93600"
"Envestnet","27","151500"
"Environmental Defense Fund","15","60500"
"Envision","54","87500"
"Envision Healthcare","34","125000"
"Envision Staffing Solutions","5","85000"
"EO of Labor & Work Dvlpmnt","3","107408"
"EOG Resources","10","125000"
"EPAM Systems","131","120000"
"EPIC Brokers","6","135000"
"Epic Games","22","222000"
"Epicor","13","125000"
"Epik Solutions","25","125000"
"Episource, LLC.","7","101000"
"ePlus inc.","3","90000"
"EPMintegrators","13","130000"
"EPMintegrators Inc.","13","135000"
"EpochGeo","13","160000"
"EPSA","11","111202"
"Epsilon","54","130000"
"Epsilon Systems Solutions","5","125000"
"Equifax","89","121000"
"Equitable","24","142430"
"Equity Talent Partners","5","85000"
"ERG Aerospace Corporation","5","90000"
"Erias Ventures LLC","4","197500"
"Ericsson","97","136000"
"ERM","26","115000"
"Ernst & Young","83","125000"
"eSmartloan","24","211000"
"eSolutionsFirst, LLC","6","67500"
"Esports Insider, Ltd.","29","310270"
"Esr","2","140000"
"ESS","6","90000"
"Essentia Health","8","103719"
"esure Group","10","109000"
"eTeam","113","145000"
"Ethos","18","166000"
"Etraveli Group","31","100500"
"Etsy","53","249000"
"EUCON AMERICAS LLC","6","80000"
"Eurofins","58","165000"
"EUROPEAN DYNAMICS","58","163782"
"European Space Agency - ESA","6","146000"
"Eurowag","18","147500"
"Eursdale Companies, LLC","4","118500"
"Evaluate","11","88128"
"Evans Equipment & Environmental","2","55000"
"Event Dynamic","3","75319"
"EverBright","7","160000"
"EverCommerce","23","90000"
"EvereTech LLC","1","78504"
"Everi Holdings Inc","8","125000"
"Everlaw","8","167500"
"EVERSOURCE","21","145500"
"Everstream Analytics","25","157500"
"Every Body Texas","5","72500"
"Everybody Votes Campaign","14","95000"
"EVERY™","8","150329"
"EVgo","6","125000"
"eVigilant","5","140000"
"Evoke Consulting, LLC","5","147500"
"Evolent Health","44","80000"
"Evolution","47","235000"
"Evolution Recruitment Solutions, USA","43","200000"
"EvolutionHR","2","111000"
"Evolve","9","118000"
"Evolve Group","8","175000"
"Evolve Vacation Rental Network","2","125000"
"EVONA","15","95000"
"Evonik Degussa Corporation","2","90000"
"EVPassport","4","80850"
"EVYD Technology","26","177500"
"Exact Sciences","34","105000"
"Exadel","68","185500"
"EXANTE","2","96773"
"Excel Global Solutions","15","82500"
"ExceleraIT","4","115000"
"Excelity","24","157500"
"Excell Communications Inc","1","54000"
"Excelra","26","100000"
"Exceptionly","7","56000"
"Exec Office of Technology Services and Security","9","86094"
"ExecuSource","9","75000"
"Executive Recruiting Associates","1","56500"
"Exelon Corporation","23","125000"
"EXL","82","162500"
"EXL Data Management","7","120000"
"EXL Service","28","147285"
"EXL Services","26","67500"
"ExlService","5","100000"
"ExlService Holdings","6","125000"
"EXLSH","12","100000"
"Exotec","19","72900"
"Expa","13","187500"
"Expatiate Communications","8","125000"
"Expedia Group","78","190000"
"Expedia Group, Inc.","7","155000"
"Expel","9","160000"
"Experfy Inc","58","111175"
"Experian","123","166000"
"Experis","131","150000"
"Expert Technical Solutions","6","112500"
"Exponent","16","125000"
"Express Employment Professionals","8","160000"
"Express Employment Professionals- Buckhead","3","62500"
"ExpressVPN","19","147500"
"Extend","9","140000"
"Extreme Networks","39","166000"
"EY","137","138100"
"ezCater","24","200000"
"Ezoic","11","147091"
"F. Hoffmann-La Roche AG","62","215643"
"F5 Networks","14","150000"
"Fable","3","140000"
"Facebook","25","165000"
"Facebook App","32","206997"
"Facet Wealth","11","125000"
"Factory Mutual Insurance Company","14","115000"
"FactSet","47","125000"
"Factspan Inc","17","95000"
"Faculty","14","51068"
"Faegre Drinker","7","187500"
"Faire","21","200000"
"Fairfax County Government","19","118606"
"Fairfax County Sheriff's Office","13","92433"
"Fairmarkit","18","235000"
"Fairstone Financial Inc.","18","90000"
"Falconwood, Incorporated","21","175000"
"Family Connections, Inc.","3","57500"
"Family Zone","19","79200"
"Fanatics","39","162624"
"Fanatics, Inc.","31","210000"
"FanDuel","26","55000"
"Fannie Mae","55","150000"
"FareHarbor","14","105300"
"Farfetch","65","189500"
"FARM","5","67500"
"Farm Credit of Southern Colorado","7","110000"
"Farmers Insurance","15","135000"
"Farmers Insurance Group","13","150000"
"Faro Health Inc.","1","162000"
"FAST GROWING TREES LLC","3","100000"
"FASTENER DISTRIBUTION HOLDINGS LLC","6","115000"
"Fastly","21","178500"
"Fastly, Inc.","5","161840"
"Fathom Management LLC","17","130000"
"Faunalytics","8","37500"
"FCE Benefit Administrators","5","76590"
"FD Technologies","13","128000"
"FDA","15","132368"
"FE fundinfo","12","53014"
"Federal Aviation Administration","14","138328"
"Federal Bureau of Investigation","2","94599"
"Federal Deposit Insurance Corporation","10","210390"
"Federal Energy Regulatory Commission","11","94199"
"Federal Highway Administration","2","132368"
"Federal Reserve Bank of Cleveland","28","150000"
"Federal Reserve Bank of Richmond","33","127500"
"Federal Reserve System","35","102500"
"Federal Retirement Thrift Investment Board","8","152222"
"Federal Services","6","115800"
"Federation of American Scientists","2","145000"
"FedEx","62","125000"
"FedEx Ground","36","135356"
"Fehr & Peers","4","81000"
"Feinstein Institute for Medical Research","4","77600"
"Feit Electric","2","80000"
"Fenway Group","9","80000"
"Fenway Health","3","65350"
"Fetch","34","157500"
"Fetch Rewards","30","90000"
"Fevo","5","125000"
"FHI 360","18","69500"
"FiberFirst","6","57500"
"Fidelity Investments","107","179000"
"Field Museum","4","125000"
"fierlo","20","180000"
"Fifty-Five","27","72900"
"Fig - Food Is Good","5","140000"
"Figma","8","314000"
"Figment","17","180000"
"FILD Search, LLC","11","212500"
"Filevine","15","190000"
"Finance","4","127500"
"Financial Industry Regulatory Authority , Inc.","3","98400"
"Financial Partners Credit Union","4","102500"
"Financial Times","46","93600"
"Findhelp","12","165000"
"Fingercheck","5","140000"
"FINN","7","95000"
"FINSYNC, Inc.","3","70000"
"Fintech Finance Group","4","65000"
"FinThrive","21","152500"
"First American","31","150500"
"First American Financial Corporation","10","109750"
"First Factory","16","147500"
"FIRST SOLAR INC","1","100000"
"First Trust Capital Management L.P.","2","65000"
"First Washington Realty,","7","135000"
"firsthand Health Inc","7","120000"
"FirstParty","22","190000"
"firstPRO Inc.","15","120000"
"firstPro,","3","125000"
"firstPRO, Inc","39","155000"
"FIS","66","115000"
"FiscalNote","14","111175"
"FiSec Global Inc","7","197500"
"Fiserv","87","125000"
"Fisher Investments","22","85000"
"Fishpond Recruiting","4","90000"
"Fitch Group Inc P","5","57600"
"Fitsoftware OU","30","75000"
"Five Iron Golf","14","80000"
"Fivesky","8","111175"
"Fivetran","61","229410"
"Fixity Technologies","27","110000"
"FIXR","10","88128"
"Flagship Credit Acceptance","7","52000"
"Flagship Pioneering","38","90000"
"Flagship Pioneering, Inc.","24","147500"
"Flatiron Health","13","204000"
"Flawless","3","194500"
"Flawless AI","15","175000"
"FLEX College Prep","9","95000"
"Flexion Inc","9","157500"
"Flexport","43","113500"
"Flexton Inc","20","160000"
"Flexton Inc.","51","140000"
"Flink","12","185500"
"Flipdish","13","24000"
"Flo Health","10","89100"
"FloatMe Corp.","2","162500"
"Flock Safety","4","187500"
"Florida Cancer Specialists & Research Institute","36","65000"
"Florida Department of Agriculture & Consumer Services, USA","1","34289"
"Florida Department of Corrections","10","54375"
"Florida International University","9","55000"
"Florida State University","22","50000"
"Florida Virtual School","7","112041"
"Fluence","28","131867"
"Flusso Ltd","4","87308"
"FLYR","22","157500"
"FLYR Labs","15","143000"
"FM Global","17","118755"
"FNA","2","130000"
"FNBO - First National Bank of Omaha","14","155000"
"Focal Systems","5","99150"
"Focus Capital Markets","7","152500"
"Focus GTS","28","87500"
"FocusKPI Inc.","30","85000"
"Fontainebleau Las Vegas","12","80000"
"Food and Drug Administration","5","75874"
"Food Finders Food Bank, Inc.","1","45000"
"Foodbuy","4","72500"
"Foodics","15","98500"
"Foot Locker","31","90000"
"Footprint","3","90670"
"Fora Financial","6","102500"
"Fora Financial LLC","6","102500"
"Forbes","10","140000"
"ForceBrands","6","95000"
"Ford Motor Company","94","125000"
"Fordham University","1","100000"
"Forge","10","165000"
"Forge Global","16","175000"
"Forge Group, LLC","5","120000"
"Form Energy","9","211255"
"Formac Inc","7","55705"
"Forsta","20","101500"
"Forsyth Barnes","48","225000"
"Fort Worth Independent School District","9","75369"
"Forte Group","18","145000"
"Fortegra Financial","11","111175"
"Forter","29","192000"
"Forthea","5","90000"
"Fortis Grex","13","115000"
"Fortuna BMC","14","81350"
"Forward Air","3","75000"
"Forward Progress Staffing","3","70000"
"Founding Teams","3","200000"
"FoundIT","12","200000"
"Fountain House","7","62500"
"Foureyes","9","112500"
"FOURKITES","7","225000"
"Foursquare","46","182000"
"Fourth","15","166000"
"Foxintelligence","8","56700"
"FPC of Savannah","11","130000"
"Fractal","71","147500"
"Fractal Analytics","42","150000"
"Frame AI","9","182500"
"Framestore","9","166420"
"Framework","4","133000"
"Frank Recruitment Group","40","160000"
"Franklin Credit Management Corporation","1","42500"
"Franklin Fitch","11","87500"
"Franklin Resources","5","135000"
"Fred Hutchinson Cancer Research Center","6","150000"
"Freddie Mac","28","115000"
"Frederick Health Hospital","4","97000"
"FREE NOW","19","111175"
"Freedom Consulting Group","11","157500"
"Freeman","6","375000"
"Freenome","24","187875"
"Freeport-McMoRan","17","100000"
"FreeportMcMoRan Copper & Gold","6","125000"
"FreeWheel","17","147731"
"FreeWire Technologies","6","175000"
"Fresenius Kabi","16","90000"
"Fresenius Kabi USA","6","90000"
"Fresenius Medical Care","32","125000"
"Fresh Gravity","30","100500"
"Fresha","6","106440"
"Freshworks","33","157500"
"Freudenberg Group","1","90931"
"Friedman's Home Improvement","4","85000"
"Friend MTS","3","100500"
"FriendFinder Networks","9","95000"
"Frontdoor, Inc.","6","90000"
"Frontier","21","181950"
"Frontier Airlines","3","75465"
"Frontier Communications","33","118965"
"Frontier, Inc.","5","106680"
"Frost Bank","17","125000"
"Fruition IT","28","90000"
"FSA","6","55000"
"FTI Consulting, Inc","14","115000"
"FTS Inc","2","75000"
"FTS, Inc.","5","75000"
"Fufill Team Inc.","2","120000"
"Fugo Games","11","57600"
"Full Circle Financial Services, LLC","7","90000"
"FullScope Staffing","17","137500"
"Fullscript","17","147500"
"FullSpeed Automotive","7","125000"
"Fund That Flip","5","147500"
"Fuse3 Solutions","15","117500"
"Fusion Business Solutions (P) Limited","13","87500"
"FutureLearn Ltd","18","51068"
"FutureNET","4","80000"
"Fwaygo Music App","2","97500"
"FWD Insuranc","9","64800"
"FWDthink LLC","11","127500"
"Fynd","6","101029"
"G Associates LLC","10","112144"
"G.Digital","18","155000"
"Gainwell Technologies","39","108100"
"Galax-Esystems Corp","1","110000"
"Galaxy","19","167500"
"GameChanger","15","172500"
"Gameloft","30","133500"
"Gametime","3","207500"
"Gametime United, Inc.","3","122500"
"Gaming Innovation Group","29","102500"
"Gannett","12","117500"
"Gap Inc.","22","165000"
"Gapstars","28","182325"
"Gardner Health Services","1","85000"
"Garner Health","13","112500"
"Gartner","69","162500"
"Gate3","7","70000"
"Gateway Professional Network","9","120000"
"Gather","3","128682"
"Gauntlet","6","175000"
"Gauss Labs","5","194500"
"GCI Communication Corp.","1","93456"
"GE Appliances","9","125000"
"Geekseat USA LLC","14","122500"
"Gehr Industries, Inc.","2","75000"
"Geico","24","150000"
"GEICO","60","154000"
"Gemini","19","163000"
"Gemological Institute of America","6","158000"
"Gemraj Technologies Ltd.","5","112500"
"GeneDx","23","210500"
"Genentech","42","254500"
"Generac Power Systems","25","175000"
"General Atomics and Affiliated Companies","6","134749"
"General Court of the Commonwealth of Massachusetts","36","81776"
"General Dynamics","70","375000"
"General Dynamics Information Technology","106","180000"
"General Dynamics Mission Systems, Inc","18","126500"
"General Electric Company","19","90000"
"General Mills","36","153993"
"General Motors","78","116604"
"Generation Genius, Inc.","1","115000"
"Genesis","50","111175"
"Genesis Capital","11","115000"
"Genfar","6","75068"
"Genies","9","175000"
"Genius Sports","67","140000"
"Genmab A/S","32","150000"
"Genome Medical","5","192000"
"Genomic Testing Cooperative, LLC","21","103529"
"Genpact","102","145000"
"GENPACT","11","88010"
"Gentis Solutions","32","115000"
"Genworth","36","90000"
"GeoComply","30","166000"
"Geological Survey","3","97227"
"Geopaq Logic","16","82500"
"Geopath","5","120000"
"Georgetown University","20","115000"
"Georgia Department of Public Health","3","68067"
"Georgia IT, Inc.","52","162624"
"Georgia Lottery Corporation","4","87500"
"Georgia State University","11","80000"
"Georgia System Operations Corporation","4","94700"
"Geotab Inc.","9","99150"
"Gerber Life Insurance Company","7","106500"
"Gerresheimer","9","147500"
"Get It Recruit - Administrative","20","102500"
"Get It Recruit - Educational Services","14","100000"
"Get It Recruit - Finance","58","173000"
"Get It Recruit - Healthcare","55","153286"
"Get It Recruit - Hospitality","41","157500"
"Get It Recruit - Information Technology","137","220000"
"Get It Recruit - Marketing","30","150000"
"Get It Recruit - Professional Services","32","152500"
"Get It Recruit - Real Estate","43","125000"
"Get It Recruit - Technology","9","99000"
"Get It Recruit - Transporation","14","130000"
"Get It Recruit - Transportation","53","149000"
"Get Well","17","140000"
"Getty Images","36","174000"
"Gevo","4","125000"
"GfK","46","48600"
"GForce Life Sciences","12","95000"
"GFT Technologies","48","123000"
"GGRM Law Firm","6","55000"
"GHJ Search and Staffing","4","97500"
"GHX","21","122500"
"Gilead Sciences","48","103550"
"Gilead Sciences Inc","8","350000"
"Girl Scouts Heart of the Hudson, Inc.","2","39500"
"Giskard","9","72900"
"GitHub","6","73500"
"Gladly","8","170500"
"Glassdoor","16","135500"
"Glazer's Beer and Beverage of TX, LLC","4","65000"
"Glean","7","102500"
"Glenmont Group Inc.","8","125000"
"Global Accounting Network","8","70000"
"Global Alliant Inc","11","135000"
"Global Allsights","10","128356"
"Global Atlantic Financial Group Opportunities","5","119900"
"Global Business Ser. 4u","16","100000"
"Global Channel Management, Inc","27","75000"
"Global Credit Union","4","122500"
"Global Data Consultants","18","90000"
"Global Data Network","22","135000"
"Global Enterprise Services, LLC","10","80000"
"Global Healthcare Exchange, Inc.","10","72500"
"Global Hires, LLC","11","90000"
"Global Job Services - Game Job Remote","16","36000"
"Global Medical Response","11","110000"
"Global Soft Systems","20","95000"
"Global Tech Staffing","10","200000"
"GlobalData UK Limited","3","105000"
"GlobalLogic","101","137500"
"GlobalLogic, Inc.","11","135000"
"Globant","90","73500"
"Globe Life Inc.","30","175000"
"GlobeMed Group","1","79200"
"Glocomms","60","337500"
"Gloo","3","120000"
"Glovis America Inc","10","120000"
"Glovo","41","72504"
"GM Financial","59","375000"
"GMS Inc.","7","90000"
"GOBankingRates","18","180000"
"GoCardless","12","157500"
"Godshall Recruiting","6","70000"
"Godsownalbum","4","70000"
"GoHealth","27","125000"
"Gojek","51","157500"
"Gold Coast Health Plan","15","128625"
"Goldbelt, Inc.","16","112500"
"Goldbelt, Incorporated","11","115000"
"GoldCoast","2","90000"
"Golden Technologies, Inc.","4","37500"
"Golden Technology","4","125000"
"Goldman Sachs","58","115000"
"Goldstone Partners","3","115000"
"Goldstone Partners, Inc.","3","105000"
"Goliath Partners","1","100000"
"Good Shepherd Community Clinic, Inc.","4","75000"
"GoodLeap","17","95000"
"GoodRx","29","265000"
"GoodUnited","4","125000"
"Goodwill Industries of Central Florida, Inc.","8","67530"
"Goodwill Industries Of Greater New York","6","85000"
"Goodwill Industries of Ventura and Santa Barbara Counties","4","55000"
"Goodwill TalentBridge","7","69500"
"Goodwin Recruiting","12","90000"
"Goodwin Transportation Group","6","117500"
"Google","83","254000"
"Google LLC","6","100000"
"goPuff","8","125000"
"Gopuff","25","219000"
"Gordian Biotechnology","6","127500"
"Gori Company","4","75000"
"Gotely","5","90000"
"GoTo","14","144500"
"GoTo Group","41","157500"
"GovCIO","39","110000"
"Govcio LLC","25","177500"
"Government Accountability Office","12","125000"
"Government Tactical Solutions","25","145000"
"Govini","8","147500"
"GovTact","21","175000"
"gpac","3","110000"
"GQR Global Markets","15","150000"
"GR4","22","185000"
"Grabango","8","99150"
"GradBay","47","241500"
"Grail","8","172000"
"GRAIL","20","200000"
"GRAIL, Inc.","12","120500"
"Grainger","51","132000"
"Gram Games","13","88128"
"Grammarly","18","308500"
"Grant Leading Technology, LLC","18","90000"
"Graphic Business Solutions Inc","12","110000"
"Gratiture Solutions","25","125000"
"Gravel","9","97444"
"Gravis Robotics","4","89100"
"Gravity IT Resources","50","155000"
"Gravy Analytics","8","80000"
"Gray","6","115000"
"GrayHawk Health","5","95000"
"Great American Transport","2","50000"
"Greater New York Mutual Insurance Company","6","112350"
"Green Key Resources","5","125000"
"Green Street Advisors, Inc","4","125000"
"GreenChoice","3","63000"
"Greenfield Source","5","390000"
"Greenhouse","4","166000"
"Greenlight","15","80000"
"greenpath, inc.","9","90000"
"greenville triumph","8","137320"
"Greenwood Lake UFSD","2","71000"
"Grey Matter Recruitment","3","115000"
"Greystone Monticello LLC","6","90000"
"Grid Dynamics Holdings, Inc","7","160000"
"Gridiron IT","53","130000"
"Gridiron IT Solutions","43","137500"
"Gridware","6","70000"
"GridX","15","175000"
"Griffin Global Systems Inc","1","80000"
"GRIN","10","150000"
"Grindr","30","220000"
"Gro Intelligence","30","182500"
"GroTech Search","14","167500"
"Group Delta","4","67500"
"Group Delta Consultants, Inc.","4","67500"
"Group Nine","21","125000"
"Group W","21","115000"
"GroupM","46","115000"
"Grover","21","147500"
"Grow Therapy","6","157500"
"GrowthLoop","5","120000"
"Grubhub","31","260500"
"GrubHub","15","125000"
"GSK","97","171620"
"GSS Infotech","17","110000"
"Gtech LLC","2","130000"
"GTECH LLC","29","130000"
"GTechNY","3","130000"
"GTN Technical Staffing and Consulting","52","205000"
"GTSC","2","145000"
"GTT, LLC","35","85000"
"Guardant Health","28","67000"
"Guardian","17","120593"
"Guardian Life","49","189163"
"Guardian Life Insurance","24","150000"
"Guardian Life Insurance Company","29","159770"
"Guidehouse","91","213000"
"Guideline","16","50000"
"Guideline Central","5","60000"
"GuidePoint Security LLC","4","99150"
"Guidewire Software Inc.","5","176000"
"Guild Education","11","221000"
"Guitar Center","22","90300"
"Guitar Center Holdings","5","57500"
"GumGum","30","71280"
"Guru","11","202500"
"Gusto","15","200000"
"Gusto, Inc.","3","159500"
"Guzman & Griffin Technologies Inc","6","65000"
"GWI","34","89100"
"gWorks","7","175000"
"GXO Logistics, Inc.","14","90000"
"Gympass","43","111175"
"H&M Group","46","249000"
"H. Lee Moffitt Cancer Center","21","106000"
"H+K International","4","50000"
"H2 Performance","5","90000"
"Hack The Box","7","96773"
"hackajob","68","185000"
"Hackensack Meridian Health","11","225000"
"HackerPulse","1","72000"
"Hajoca Corporation","5","95000"
"Halliburton","24","107800"
"Halliburton Contingent Workforce Network","9","82879"
"Halvik","13","111175"
"Halvik Corp","1","90000"
"Hamlyn Williams","17","125000"
"Hampton North","5","160000"
"Hanalytica","23","95000"
"Handshake","9","245000"
"Hanker Systems Inc","2","150000"
"Hansen Talent Group","17","57500"
"Happier Living","2","130000"
"Harbor Freight Tools USA, Inc.","7","98450"
"HARMAN International","71","119250"
"Harmer","15","110000"
"Harmony Analytics","3","120000"
"Harnham","119","325000"
"Harris Local Government Solutions Inc.","5","65000"
"Harrisburg Area Community College","1","58568"
"Harrison Clarke","14","185000"
"Harrison Gray Search & Consulting","7","140000"
"Harrison National Employment","5","107500"
"Harry's","6","132000"
"Harry Chapin Food Bank of Southwest Florida","4","48750"
"Harvard Business School","29","175000"
"Harvard Partners, LLP","8","140000"
"Harvard Strategic Data Project","6","82500"
"Harvard University","42","125000"
"Hasbro","23","118140"
"HashiCorp","31","157500"
"hatch I.T.","12","150000"
"hatch IT","5","125000"
